id,Ad date,Address,Air conditioning,Balcony,Bathrooms,Unnamed: 6,Condition,Floor,Floor area,Furniture,Garage,Garden,Heating,Kitchen,Lift,Monthly charges,Price,Property type,Ref.,Rental income,Rooms,Terrace,Total floors,Zone
575c1a9043904831aa27f5f699cb88ea,8/7/2019,Torino,,Yes,1,,excellent/refurbished,3,50m²,Furnished,no,Nothing,Communal,Livable,,,44,whole estate,1905600.281,,2,,4.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
e0ab0c6a42144124941bf2cca3414518,12/7/2019,"Corso Quintino Sella 108, Torino",,,>3,,buono / abitabile,Ground floor,370m²,Unfurnished,2+ cars,Owner,Autonomous,Livable,Yes,,1.350.000,whole estate,Quintino Sella 108,,>5,Yes,4.0,"Madonna del Pilone, Sassi"
c9dc30884ef745c2b82483d58d9591d6,16/07/2019,"Str. di S. Mauro, 39,  Torino",,Yes,1,,excellent/refurbished,4,60m²,Unfurnished,no,Nothing,Communal,A vista,Yes,,85,whole estate,40121696,,2,,5.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
85f26c0cd2034446a762ca2a2e362e55,26/07/2019,"Via Paolo Veronese 50, Torino",,,2,,buono / abitabile,2,92m²,Unfurnished,no,Nothing,Autonomous,Livable,Yes,,80,whole estate,0026587834/18ESLUveroneseTOLZ,,4,Yes,7.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
c0d87fe5ce04446289c5a9fbefd6ecda,18/07/2019,"Corso Orbassano 191, Torino",,Yes,1,,excellent/refurbished,4,90m²,,,,,Kitchenette,Yes,,230,,124,,3,,8.0,"Santa Rita, Mirafiori Nord"
2e612acf2c104880b55326961f7c6036,15/07/2019,"Str. dei Biasoni,  Torino",,Yes,1,,buono / abitabile,raised floor,60m²,Unfurnished,2+ cars,,Autonomous,,,,55,whole estate,40199069,,2,,2.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
74e5a89fc0bd4d5fbea4b92f1fff9b69,20/02/2019,"strada delle Cacce 38,  Torino",,Yes,1,,excellent/refurbished,Ground floor,77m²,,1 car,Owner,Communal,Kitchenette,,,148,whole estate,19_009 (2440718),,2,,1.0,
bba24cfe870240ce8951c2261688b039,18/05/2019,"via nizza,  Torino",,Yes,2,,nuovo / in costruzione,1,120m²,Furnished,2+ cars,,Autonomous,Livable,Yes,,360,whole estate,-2284612,,4,,6.0,
b22fa461328643c5a5bb86838c082412,14/06/2019,"via caltanissetta 7,  Torino",Yes,,,,,,48m²,Furnished,no,Nothing,Communal,,Yes,,73.5,,7706 (2543374),,2,,,
27cccededfe04872ad6c509f9459c577,4/12/2018,Torino,,Yes,1,,to be refurbished,last floor,115m²,Unfurnished,no,,Communal,,Yes,208 € mensili,132,whole estate,V000019.2329,,3,,8.0,"Santa Rita, Mirafiori Nord"
184d8607dd3045a2a346f1c32f500532,1/7/2019,"Via Lessolo,  Torino",,,3,,buono / abitabile,,218m²,Unfurnished,2+ cars,Owner,Autonomous,,,,390,whole estate,LESSOLO,,>5,Yes,2.0,"Regio Parco, Vanchiglia, Vanchiglietta"
aa1b4d699b1d40b8b5c986e8580682c2,25/07/2019,"via Galluppi 19,  Torino",,Yes,1,,buono / abitabile,2,90m²,Unfurnished,parking space,Shared,Communal,Livable,,61 € mensili,135,whole estate,ARCHIBIOS - Via Galluppi (2564383),,4,,4.0,
ce5aaf8eacc14c02b4bb7f668e613c46,10/8/2019,"Via Cuneo, 3,  Torino",,Yes,2,,excellent/refurbished,last floor,65m²,,no,Shared,Communal,Livable,Yes,85 € mensili,155,whole estate,528,,3,Yes,5.0,"Aurora, Barriera di Milano, Rebaudengo"
c1f78267ab06467aa138bb232932bbd2,10/8/2019,"VIA Soana,  Torino",,Yes,2,,nuovo / in costruzione,1,105m²,,,Shared,Communal,Kitchenette,Yes,100 € mensili,187,whole estate,TIPO D - 2° PIANO,,4,Yes,3.0,"Aurora, Barriera di Milano, Rebaudengo"
292fb227a9d244569176bb470fad2c74,22/07/2019,"Via Sappone,  Torino",,,1,,nuovo / in costruzione,Ground floor,105m²,Unfurnished,1 car,Owner,Autonomous,Livable,,,350,whole estate,553,,4,,3.0,"Cavoretto, Gran Madre"
80311fd8b2cb4924b23e7bc9cdf00f07,26/06/2019,"Corso Re Umberto,  Torino",,Yes,3,,to be refurbished,7,280m²,,,Nothing,Communal,Livable,Yes,,595,whole estate,00t-4185bis,,>5,Yes,8.0,"Crocetta, San Secondo"
134aef94ad794c20a8d843b1cbb3dc92,11/7/2019,"via UGO FOSCOLO,  Torino",Yes,,1,,excellent/refurbished,last floor,55m²,Unfurnished,no,Nothing,Autonomous,Small kitchen,Yes,,115,,85/19 (2549485),,2,,5.0,
8c23e365f3e84aa1bea90048accd1c2e,17/07/2019,"Via Pietrino Belli 39, Torino",,Yes,1,,excellent/refurbished,1,70m²,,no,Nothing,Autonomous,Livable,,140 € mensili,129,whole estate,bel39,,3,,2.0,"Pozzo Strada, Parella"
dfab163e13b944a982c6e2209e6f8040,23/06/2018,"Via Stampini 7,  Torino",,Yes,1,,nuovo / in costruzione,1,67m²,,,,Communal,A vista,Yes,,132,whole estate,-31749579,,2,Yes,4.0,"Le Vallette, Lucento, Madonna di Campagna"
0903458c48b24bc79ada8309c11ced97,3/7/2019,"Via Fratelli De Maistre 9, Torino",,Yes,1,,buono / abitabile,4,55m²,Unfurnished,no,Nothing,Autonomous,Kitchenette,,35 € mensili,45,whole estate,demaistre45000,,2,,5.0,Mirafiori Sud
c2ee0f713d6e420ea643884185355515,15/07/2019,"Corso Re Umberto,  Torino",,,1,,buono / abitabile,raised floor,120m²,Unfurnished,no,Nothing,Communal,Livable,Yes,333 € mensili,363,whole estate,Antonaccio,,4,,6.0,"Crocetta, San Secondo"
543879ef6c57496a826c0a1d79491150,21/05/2019,"via Monfalcone,  Torino",Yes,Yes,1,,excellent/refurbished,3,55m²,Unfurnished,no,Nothing,Communal,Small kitchen,Yes,,110,whole estate,ST100339 (2523508),,2,,6.0,
69f56452e8fc49f1be99495658deba19,6/5/2019,Torino,,Yes,1,,buono / abitabile,1,96m²,Unfurnished,no,Shared,Communal,Small kitchen,Yes,80 € mensili,155,whole estate,SEBASTOPOLI297,,3,,10.0,"Santa Rita, Mirafiori Nord"
04adccc3fce24d029925d93679242d4e,11/7/2019,"via Roma 305,  Torino",Yes,Yes,2,,excellent/refurbished,3,130m²,Partly Furnished,no,Nothing,Communal,Livable,Yes,126 € mensili,750,,3013 (2480621),,4,,6.0,
e83bb665228a417eada8df4b7f74c68a,22/07/2019,"corso Rosselli,  Torino",,Yes,1,,buono / abitabile,5,60m²,,no,Nothing,Communal,Small kitchen,Yes,50 € mensili,110,whole estate,011-3979760 (2479175),,2,,8.0,
